web-scraper-order,web-scraper-start-url,rooms_area_price_raw,price_raw,address_raw,description_raw,text_raw
"1758541828-1","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2.5 Zimmer, 72m², CHF 1’770.–","CHF 1’770.–","Bütziackerstrasse 6, 8406 Winterthur","2.5 Zimmerwohnung in Winterthur Töss","1 / 4 2.5 Zimmer, 72m², CHF 1’770.– Bütziackerstrasse 6, 8406 Winterthur2.5 Zimmerwohnung in Winterthur Töss Per 01.10.2025 vermieten wir diese grosszügige und lichtdurchflutete 2.5 Zimmer-Wohnung im 1. OG. Die Wohnung ist mit Parkett und Plattenboden ausgestattet. Die Wohnung befindet sich in einem gepflegten Mehrfamilienhaus in Winterthur Töss und hat einen gemütlichen Balkon. Die Bushaltestelle, Einkaufsmöglichkeiten sowie die Badi erreichen Sie in wenigen Gehminuten. Wir freuen uns auf Ihre Anmeldung nach einer Besichtigung. Die Fotos entsprechen dem Standard und können vom Original abweichen.  Wegzeit Neu4 min.Station: Winterthur Töss"
"1758541828-2","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2.5 Zimmer, 57m², CHF 1’770.–","CHF 1’770.–","Rümikerstrasse 8, 8400 Winterthur","Modernes und zentrales Wohnen","1 / 5 2.5 Zimmer, 57m², CHF 1’770.– Rümikerstrasse 8, 8400 WinterthurModernes und zentrales Wohnen Per 01.10.2025 vermieten wir diese schöne 2.5-Zimmerwohnung in Winterthur. Die Wohnung bietet Ihnen folgende Annehmlichkeiten: - Wohn- und Schlafzimmer mit Parkettboden- Küche und Nasszelle mit pflegeleichtem Plattenboden- Grosszügiger Wohn- und Essbereich mit Zugang zum Balkon- Offene Küche mit Glaskeramikherd, Backofen, Geschirrspüler und viel Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Dusche- Die Wohnung verfügt über ein Balkon- Eigenes Kellerabteil- Waschküche und Trockenraum zur Mitbenutzung- Lift vorhanden Die Haustierhaltung ist in dieser Liegenschaft erlaubt. Nach Verfügbarkeit kann ein Einstellplatz für CHF 150.00 pro Monat dazu gemietet werden. Umgebung: - Diverse Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe- Für den kleinen und grossen Hunger gibt es diverse Restaurants in der nahen Umgebung- Sehr gute Anschlüsse an die Autobahn und an den öffentlichen Verkehr Bitte beachten Sie, dass die Bilder als Referenzbilder dienen und vom Original abweichen können. Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage.  Wegzeit Neu10 min.Station: Oberwinterthur"
"1758541828-3","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4 Zimmer, 92m², CHF 2’490.–","CHF 2’490.–","Waldeggweg 7a, 8400 Winterthur","","1 / 10 4 Zimmer, 92m², CHF 2’490.– Waldeggweg 7a, 8400 Winterthur Wegzeit Neu19 min.Station: Winterthur Grüze"
"1758541828-4","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 105m², CHF 3’900.–","CHF 3’900.–","Schaffhauserstrasse 111, 8400 Winterthur","","Neubau 1 / 12 3.5 Zimmer, 105m², CHF 3’900.– Schaffhauserstrasse 111, 8400 Winterthur Wegzeit Neu20 min.Station: Winterthur"
"1758541828-5","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4.5 Zimmer, 101m², CHF 3’400.–","CHF 3’400.–","Dialogplatz 10, 8400 Winterthur","Moderne 4.5-Zimmerwohnung in der Lokstadt","1 / 9 4.5 Zimmer, 101m², CHF 3’400.– Dialogplatz 10, 8400 WinterthurModerne 4.5-Zimmerwohnung in der Lokstadt Wir vermieten per 1. Dezember 2025 diese tolle Wohnung im BIGBOY. Das Wohnhochhaus BIGBOY vereint alle Wünsche und bietet Ihnen mehr als nur schönes und gesundes Wohnen. Der BIGBOY überzeugt innen und aussen durch eine gekonnte Architektur und überragt das ganze Quartier.Der neue Stadtteil, das erste zertifizierte 2000-Watt-Areal in Winterthur, ist heute ein urbaner nachhaltiger Lebensraum mit zukunftsweisenden Visionen. Gebaut für Menschen, die das Stadtleben schätzen und sich der Zukunftsverantwortung bewusst sind. Die Wohnung liegt im 10. Obergeschoss und bietet folgende Highlights:- Gut möblierbare Grundrissaufteilung- Lichtdurchfluteter offener Wohn- und Essbereich- Offene Küche mit Küchengeräten der Firma Elektrolux- Zwei Moderne Badezimmer mit bodenebener Dusche und Badewanne inkl. Waschturm- Grosszügige Schlafzimmer mit viel Tageslicht- Gemütliche Loggia à 7.2m2 mit Weitsicht- Edler Parkettbelag in allen Wohn-, Ess- und Schlafbereichen Ein eigenes Kellerabteil im Untergeschoss gehört zur Wohnung. Bitte beachten Sie, dass die Bilder Ihnen den Ausbaustandard aufzeigen sollen. Wir machen Sie darauf aufmerksam, dass die Bilder vom Grundriss der Wohnung abweichen können. Haben wir Ihr Interesse geweckt und Sie möchten sich diese schöne Wohnung anschauen? Dann zögern Sie nicht und setzen sich mit uns in Verbindung. Wir freuen uns auf Ihre Anfrage via dem Kontaktformular der Plattform.  Wegzeit Neu13 min.Station: Winterthur"
"1758541828-6","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, CHF 1’890.–","CHF 1’890.–","Im Schützenbühl 3, 8405 Winterthur","Ein WohnTraum!","1 / 10 3.5 Zimmer, CHF 1’890.– Im Schützenbühl 3, 8405 WinterthurEin WohnTraum! Sind Sie auf der Suche nach einer Wohnung zum wohlfühlen? Dann ist diese Wohnung genau das Richtige für Sie! Nachstehendes und vieles mehr bietet Ihnen die Wohnung im Schützenbühl:- Helle Küche mit Geschirrspüler- Geräumiges Badezimmer mit Badewanne und Fenster- Separates WC- Helle und grosszügige Räumlichkeiten- Gemütlicher Balkon zum verweilen- Kellerabteil- Gemeinsame Waschküche- Haustiere nach Absprache erlaubt- kein LiftDesweitern sind diverse Einkaufmöglichkeiten in wenigen Gehminuten erreichbar.Aktuell ist kein Parkplatz verfügbar. Wir freuen uns auf Ihre Kontaktaufnahme via Kontaktformular.  Wegzeit Neu15 min.Station: Winterthur Seen"
"1758541828-7","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4.5 Zimmer, 122m², CHF 3’050.–","CHF 3’050.–","Florenstrasse 19a, 8405 Winterthur","Grosszügige Gartenwohnung in kleiner Hausgemeinschaft","1 / 10 4.5 Zimmer, 122m², CHF 3’050.– Florenstrasse 19a, 8405 WinterthurGrosszügige Gartenwohnung in kleiner Hausgemeinschaft Per sofort oder n ach Vereinbarung vermieten wir diese grosszügige Gartenwohnung in einer kleinen Hausgemeinschaft in Seen. Die Liegenschaft liegt in einer ruhigen und grünen Umgebung mit Weitblick. Schöne Spaziergänge im Naherholungsgebiet sind nur wenige Schritte entfernt.Die Liegenschaft befindet sich unweit des Bahnhofs Seen (5 min. Fussweg). Einkaufsmöglichkeiten und Restaurants sind schnell erreichbar. Kindergärten und Schulen für die Kinder befinden sich ebenfalls in der Nähe.Die private Eigentumswohnung zeichnet sich durch folgende Merkmale aus:- helle Räumlichkeiten mit grossen Fensterflächen- Plattenboden in allen Räumen- Cheminée im Wohnzimmer- Küche mit modernen Küchengeräten und Steamer- grosszügiges Badezimmer mit Badewanne- separates WC mit Dusche- Gäste WC - elektronische Lamellenstoren- Waschmaschine und Tumbler im eigenen Kellerabteil- grosszügiger Sitzplatz inkl. kleiner Raum für GartenutensilienEin Kellerabteil befindet sich im Untergeschoss. Ebenfalls gehört ein Einstellplatz für Fr. 120.00 pro Monat zur Wohnung.  Wegzeit Neu5 min.Station: Winterthur Seen"
"1758541828-8","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 108m², CHF 2’670.–","CHF 2’670.–","Schlosshofstrasse 52c, 8406 Winterthur","","1 / 5 3.5 Zimmer, 108m², CHF 2’670.– Schlosshofstrasse 52c, 8406 Winterthur Wegzeit Neu8 min.Station: Winterthur Töss"
"1758541828-9","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2 Zimmer, 46m², CHF 1’850.–","CHF 1’850.–","Konradstrasse 8, 8400 Winterthur","","1 / 6 2 Zimmer, 46m², CHF 1’850.– Konradstrasse 8, 8400 Winterthur Wegzeit Neu4 min.Station: Winterthur"
"1758541828-10","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","1 Zimmer, 17m², CHF 1’450.–","CHF 1’450.–","Wülflingerstrasse 38, 8400 Winterthur","","1 / 7 1 Zimmer, 17m², CHF 1’450.– Wülflingerstrasse 38, 8400 Winterthur Wegzeit Neu13 min.Station: Winterthur"
"1758541828-11","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer, CHF 1’500.–","CHF 1’500.–","Freiestrasse 37, 8406 Winterthur","3- Zimmerwohnung in Winterthur","Neu 1 / 7 3 Zimmer, CHF 1’500.– Freiestrasse 37, 8406 Winterthur3- Zimmerwohnung in Winterthur Per 1. Dezember 2025 vermieten wir diese charmante 3- Zimmerwohnung in einem ruhigen Quartier in Töss.Die kleine Liegenschaft mit 3 Mietparteien befindet sich in einer Querstrasse in Töss. Zu Fuss ist man schnell bei der Bushaltestelle Gaswerk oder in ca. 25 Minuten am Bahnhof Winterthur. Details zur Wohnung:- Wohn- und Schlafbereich mit Laminatboden- Küche und WC mit Plattenboden- die Dusche befindet sich in der Küche - der Gasherd / Backofen wird noch ersetzt durch einen Elektroherd / Backofen- kleiner Sitzplatz zur Mitbenutzung - eigenes Kellerabteil im UG der LiegenschaftZu dieser Wohnung können wir keine Parkplätze vermieten. Haben wir Ihr Interesse geweckt? Kontaktieren Sie uns gerne für einen Besichtigungstermin.  Wegzeit Neu3 min.Station: Winterthur Töss"
"1758541828-12","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer, 63m², CHF 1’908.–","CHF 1’908.–","Tellstrasse 16a, 8400 Winterthur","3.0 Zimmerwohnung in Winterthur","1 / 8 3 Zimmer, 63m², CHF 1’908.– Tellstrasse 16a, 8400 Winterthur3.0 Zimmerwohnung in Winterthur Per 16. September 2025 vermieten wir diese schöne und zentrale 3-Zimmerwohnung in einer kleinen Hausgemeinschaft. Die Liegenschaft liegt in einer ruhigen Quartierstrasse nahe des Bahnhofs Winterthur (5 Minuten Fussweg). Trotz der nahen Lage zum Bahnhof Winterthur ist man in wenigen Schritten im Naherholungsgebiet und im Wald Brühlberg. Die Wohnung selbst zeichnet sich durch folgende Details aus:- zeitloser, weisser Plattenboden in der gesamten Wohnung- Dusche/WC- moderne, offene Küche- grosszügiger Eingangsbereich Die Waschmaschine zum mitbenützen befindet sich im Untergeschoss.Leider stehen keine Parkplätze zur Verfügung. Es hat jedoch viele blaue Zonen Parkplätze in der Umgebung. Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme bei Fragen.  Wegzeit Neu9 min.Station: Winterthur"
"1758541828-13","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","5.5 Zimmer, 135m², CHF 3’295.–","CHF 3’295.–","Wartstrasse 242, 8408 Winterthur","Erdgeschoss-Wohnung in heimeligem Quartier","1 / 8 5.5 Zimmer, 135m², CHF 3’295.– Wartstrasse 242, 8408 WinterthurErdgeschoss-Wohnung in heimeligem Quartier In zentraler aber dennoch ruhiger Lage in Winterthur, vermieten wir diese schöne 5.5-Zimmer-Wohnung.Das erwartet Sie: • Wohn/Essbereich mit schönem Laminatboden und Cheminée • Schlafbereich mit Teppichboden • Küche mit Induktionsherd/Teppanyaki-Platte/Geschirrspüler, Backofen und Steamer • Einbauschränke in jedem Zimmer • Nasszellen mit WC/Dusche und WC/Badewanne • Eigener Sitzplatz und Gartenanteil • Gemeinschaftliche Waschküche im UG • Kellerabteil im UG Aktuell entsteht auf der Parzelle vor dem Mehrfamilienhaus ein Neubau.Mit Emissionen und kurzfristigen Einschränkungen ist tagsüber zu rechnen.Dies wurde bei der Festlegung des Mietzinses bereits berücksichtigt.Ein Doppel Abstellplatz Aussen kann für 120 CHF/mtl. dazu gemietet werden.  Wegzeit Neu24 min.Station: Winterthur Wülflingen"
